player,team,games,mp,ws48,mpg
Mikal Bridges,NYK,82,3036,0.09,37.02439024390244
Josh Hart,NYK,77,2897,0.153,37.62337662337662
Anthony Edwards,MIN,79,2871,0.14,36.34177215189873
Devin Booker,PHO,75,2795,0.111,37.266666666666666
James Harden,LAC,79,2789,0.143,35.30379746835443
DeMar DeRozan,SAC,77,2768,0.123,35.94805194805195
Trae Young,ATL,76,2739,0.1,36.03947368421053
Tyler Herro,MIA,77,2725,0.131,35.38961038961039
OG Anunoby,NYK,74,2706,0.116,36.567567567567565
Jalen Green,HOU,82,2697,0.092,32.890243902439025
Christian Braun,DEN,79,2675,0.144,33.860759493670884
Bam Adebayo,MIA,78,2674,0.135,34.282051282051285
Ivica Zubac,LAC,80,2624,0.215,32.8
Jayson Tatum,BOS,72,2624,0.174,36.44444444444444
Jaden McDaniels,MIN,82,2614,0.115,31.878048780487806
Keegan Murray,SAC,76,2610,0.082,34.3421052631579
Zach LaVine,2TM,74,2602,0.094,35.16216216216216
Shai Gilgeous-Alexander,OKC,76,2598,0.309,34.18421052631579
Michael Porter Jr.,DEN,77,2593,0.118,33.675324675324674
Derrick White,BOS,76,2574,0.158,33.86842105263158
Dyson Daniels,ATL,76,2571,0.093,33.828947368421055
Nikola JokiÄ,DEN,70,2571,0.307,36.72857142857143
Austin Reaves,LAL,73,2550,0.144,34.93150684931507
Toumani Camara,POR,78,2548,0.097,32.666666666666664
Pascal Siakam,IND,78,2548,0.142,32.666666666666664
Brook Lopez,MIL,80,2546,0.124,31.825
Karl-Anthony Towns,NYK,72,2517,0.193,34.958333333333336
Bub Carrington,WAS,82,2458,0.005,29.975609756097562
Cade Cunningham,DET,70,2452,0.115,35.02857142857143
Tyrese Haliburton,IND,73,2451,0.204,33.57534246575342
Coby White,CHI,74,2450,0.088,33.108108108108105
LeBron James,LAL,70,2444,0.152,34.91428571428571
Domantas Sabonis,SAC,70,2429,0.199,34.7
Jamal Murray,DEN,67,2418,0.123,36.08955223880597
Alperen ÅengÃ¼n,HOU,76,2395,0.166,31.513157894736842
Dillon Brooks,HOU,75,2388,0.103,31.84
Rudy Gobert,MIN,72,2388,0.204,33.166666666666664
Tobias Harris,DET,73,2305,0.108,31.575342465753426
Darius Garland,CLE,75,2301,0.169,30.68
Jalen Brunson,NYK,65,2301,0.172,35.4
Jarrett Allen,CLE,82,2296,0.243,28.0
Chris Paul,SAS,82,2292,0.12,27.951219512195124
Anfernee Simons,POR,70,2292,0.087,32.74285714285714
Giannis Antetokounmpo,MIL,67,2289,0.241,34.16417910447761
Malik Beasley,DET,82,2283,0.1,27.841463414634145
Kentavious Caldwell-Pope,ORL,77,2279,0.096,29.5974025974026
Nikola VuÄeviÄ,CHI,73,2278,0.153,31.205479452054796
Payton Pritchard,BOS,80,2271,0.183,28.3875
Kevin Durant,PHO,62,2265,0.111,36.53225806451613
Shaedon Sharpe,POR,72,2252,0.064,31.27777777777778
Stephen Curry,GSW,70,2252,0.168,32.17142857142857
De'Aaron Fox,2TM,62,2241,0.093,36.145161290322584
Jalen Williams,OKC,69,2237,0.168,32.42028985507246
Donovan Mitchell,CLE,71,2232,0.163,31.43661971830986
Harrison Barnes,SAS,82,2230,0.12,27.195121951219512
Julius Randle,MIN,69,2226,0.134,32.26086956521739
Amen Thompson,HOU,69,2225,0.172,32.2463768115942
Jaren Jackson Jr.,MEM,74,2207,0.139,29.824324324324323
Desmond Bane,MEM,69,2205,0.142,31.956521739130434
Naz Reid,MIN,80,2200,0.125,27.5
Tyus Jones,PHO,81,2174,0.096,26.839506172839506
Myles Turner,IND,72,2174,0.104,30.194444444444443
Evan Mobley,CLE,71,2167,0.2,30.52112676056338
Taurean Prince,MIL,80,2166,0.077,27.075
Stephon Castle,SAS,81,2162,0.025,26.691358024691358
Deni Avdija,POR,72,2161,0.124,30.01388888888889
Jaylen Brown,BOS,63,2158,0.115,34.25396825396825
Tim Hardaway Jr.,DET,77,2153,0.077,27.961038961038962
Bennedict Mathurin,IND,72,2149,0.068,29.84722222222222
Spencer Dinwiddie,DAL,79,2136,0.082,27.037974683544302
Scottie Barnes,TOR,65,2134,0.078,32.83076923076923
Max Christie,2TM,78,2127,0.06,27.26923076923077
Josh Giddey,CHI,70,2117,0.121,30.242857142857144
Fred VanVleet,HOU,60,2111,0.119,35.18333333333333
Keyonte George,UTA,67,2109,0.024,31.47761194029851
Dennis SchrÃ¶der,3TM,75,2105,0.073,28.066666666666666
Damian Lillard,MIL,58,2093,0.175,36.08620689655172
Russell Westbrook,DEN,75,2092,0.045,27.893333333333334
Kelly Oubre Jr.,PHI,60,2078,0.061,34.63333333333333
Nickeil Alexander-Walker,MIN,82,2073,0.099,25.28048780487805
Luguentz Dort,OKC,71,2073,0.129,29.197183098591548
Onyeka Okongwu,ATL,74,2064,0.168,27.89189189189189
Malik Monk,SAC,65,2054,0.065,31.6
Jaylen Wells,MEM,79,2043,0.083,25.860759493670887
Jalen Duren,DET,78,2034,0.218,26.076923076923077
Jalen Wilson,BRK,79,2031,0.046,25.70886075949367
Miles Bridges,CHO,64,2029,0.075,31.703125
Davion Mitchell,2TM,74,2027,0.07,27.39189189189189
Franz Wagner,ORL,60,2023,0.133,33.71666666666667
Quentin Grimes,2TM,75,2013,0.081,26.84
Jordan Poole,WAS,68,2001,0.047,29.426470588235293
Draymond Green,GSW,68,1983,0.088,29.16176470588235
Devin Vassell,SAS,64,1983,0.054,30.984375
Klay Thompson,DAL,72,1965,0.045,27.291666666666668
Tyrese Maxey,PHI,52,1960,0.094,37.69230769230769
Norman Powell,LAC,60,1958,0.129,32.63333333333333
Yves Missi,NOP,73,1956,0.089,26.794520547945204
Keon Ellis,SAC,80,1948,0.122,24.35
Bilal Coulibaly,WAS,59,1948,0.008,33.016949152542374
Kyle Kuzma,2TM,65,1936,-0.024,29.784615384615385
Julian Champagnie,SAS,82,1932,0.062,23.5609756097561
Keon Johnson,BRK,79,1925,0.014,24.367088607594937
Naji Marshall,DAL,69,1919,0.087,27.81159420289855
Jrue Holiday,BOS,62,1896,0.13,30.580645161290324
Guerschon Yabusele,PHI,70,1895,0.099,27.071428571428573
Gary Trent Jr.,MIL,74,1893,0.084,25.58108108108108
Anthony Black,ORL,78,1887,0.061,24.192307692307693
Josh Green,CHO,68,1887,0.037,27.75
Nic Claxton,BRK,70,1882,0.11,26.885714285714286
Andrew Nembhard,IND,65,1881,0.071,28.93846153846154
Cason Wallace,OKC,68,1876,0.133,27.58823529411765
Derrick Jones Jr.,LAC,77,1873,0.12,24.324675324675326
Rui Hachimura,LAL,59,1869,0.11,31.677966101694917
RJ Barrett,TOR,58,1869,0.061,32.224137931034484
Buddy Hield,GSW,82,1863,0.073,22.71951219512195
Trey Murphy III,NOP,53,1854,0.091,34.9811320754717
Zaccharie Risacher,ATL,75,1843,0.046,24.573333333333334
Andrew Wiggins,2TM,60,1842,0.104,30.7
Isaiah Collier,UTA,71,1839,-0.021,25.901408450704224
Keldon Johnson,SAS,77,1838,0.083,23.87012987012987
Royce O'Neale,PHO,75,1837,0.073,24.493333333333332
P.J. Washington,DAL,57,1835,0.062,32.19298245614035
CJ McCollum,NOP,56,1832,0.038,32.714285714285715
Haywood Highsmith,MIA,74,1818,0.088,24.56756756756757
Dorian Finney-Smith,2TM,63,1818,0.078,28.857142857142858
Alex Sarr,WAS,67,1814,-0.007,27.074626865671643
Kyrie Irving,DAL,50,1804,0.124,36.08
Kyshawn George,WAS,68,1802,0.003,26.5
Cameron Johnson,BRK,57,1800,0.137,31.57894736842105
Duncan Robinson,MIA,74,1785,0.071,24.12162162162162
Kris Dunn,LAC,74,1783,0.108,24.094594594594593
Luka DonÄiÄ,2TM,50,1769,0.16,35.38
Scoot Henderson,POR,66,1759,0.049,26.651515151515152
Wendell Carter Jr.,ORL,68,1758,0.125,25.852941176470587
Collin Sexton,UTA,63,1758,0.066,27.904761904761905
Mike Conley,MIN,71,1756,0.142,24.732394366197184
Amir Coffey,LAC,72,1748,0.111,24.27777777777778
Jimmy Butler,2TM,55,1746,0.238,31.745454545454546
Aaron Wiggins,OKC,76,1744,0.148,22.94736842105263
Walker Kessler,UTA,58,1740,0.149,30.0
De'Andre Hunter,2TM,64,1740,0.122,27.1875
Ochai Agbaji,TOR,64,1739,0.087,27.171875
Brandin Podziemski,GSW,64,1716,0.117,26.8125
Jabari Smith Jr.,HOU,57,1716,0.117,30.105263157894736
Anthony Davis,2TM,51,1706,0.188,33.450980392156865
Bradley Beal,PHO,53,1702,0.068,32.113207547169814
Georges Niang,2TM,79,1697,0.081,21.481012658227847
Jakob Poeltl,TOR,57,1686,0.158,29.57894736842105
Scotty Pippen Jr.,MEM,79,1683,0.133,21.303797468354432
Kevin Huerter,2TM,69,1679,0.054,24.333333333333332
Santi Aldama,MEM,65,1660,0.144,25.53846153846154
A.J. Green,MIL,73,1659,0.082,22.726027397260275
Al Horford,BOS,60,1659,0.129,27.65
Terry Rozier,MIA,64,1658,0.029,25.90625
Peyton Watson,DEN,68,1656,0.073,24.352941176470587
Moses Moody,GSW,74,1649,0.102,22.283783783783782
Tristan Da Silva,ORL,74,1629,0.073,22.013513513513512
Donte DiVincenzo,MIN,62,1606,0.115,25.903225806451612
Isaiah Joe,OKC,74,1604,0.153,21.675675675675677
Corey Kispert,WAS,61,1602,0.032,26.262295081967213
Caris LeVert,2TM,64,1596,0.119,24.9375
Miles McBride,NYK,64,1593,0.098,24.890625
Isaiah Hartenstein,OKC,57,1590,0.205,27.894736842105264
Gradey Dick,TOR,54,1587,0.042,29.38888888888889
Paolo Banchero,ORL,46,1582,0.106,34.391304347826086
Patrick Williams,CHI,63,1576,0.012,25.015873015873016
Obi Toppin,IND,79,1545,0.135,19.556962025316455
Grayson Allen,PHO,64,1544,0.079,24.125
Sam Hauser,BOS,71,1541,0.136,21.704225352112676
Ziaire Williams,BRK,63,1541,0.065,24.46031746031746
Gabe Vincent,LAL,72,1527,0.039,21.208333333333332
Victor Wembanyama,SAS,46,1527,0.118,33.19565217391305
Jerami Grant,POR,47,1524,0.057,32.42553191489362
Jonas ValanÄiÅ«nas,2TM,81,1524,0.137,18.814814814814813
Kyle Filipowski,UTA,72,1522,0.078,21.13888888888889
Ja Morant,MEM,50,1519,0.112,30.38
Matas Buzelis,CHI,80,1511,0.06,18.8875
LaMelo Ball,CHO,47,1505,0.065,32.02127659574468
Dalton Knecht,LAL,78,1494,0.086,19.153846153846153
Kevin Porter Jr.,2TM,75,1482,0.072,19.76
D'Angelo Russell,2TM,58,1480,0.063,25.517241379310345
Lauri Markkanen,UTA,47,1476,0.07,31.404255319148938
Luke Kennard,MEM,65,1472,0.127,22.646153846153847
Jamal Shead,TOR,75,1467,0.027,19.56
Aaron Gordon,DEN,51,1447,0.143,28.372549019607842
Isaiah Stewart,DET,72,1434,0.144,19.916666666666668
Brice Sensabaugh,UTA,71,1432,0.042,20.169014084507044
Goga Bitadze,ORL,70,1430,0.195,20.428571428571427
Kel'el Ware,MIA,64,1422,0.14,22.21875
Tari Eason,HOU,57,1420,0.169,24.912280701754387
Zach Edey,MEM,66,1416,0.165,21.454545454545453
T.J. McConnell,IND,79,1415,0.109,17.911392405063292
Terance Mann,2TM,67,1414,0.101,21.104477611940297
Ryan Dunn,PHO,74,1410,0.034,19.054054054054053
Sam Merrill,CLE,71,1401,0.113,19.732394366197184
Ayo Dosunmu,CHI,46,1394,0.087,30.304347826086957
Ty Jerome,CLE,70,1392,0.204,19.885714285714286
Julian Strawther,DEN,65,1384,0.043,21.29230769230769
Nick Smith Jr.,CHO,60,1369,-0.019,22.816666666666666
Jaime Jaquez Jr.,MIA,66,1368,0.081,20.727272727272727
Nicolas Batum,LAC,78,1367,0.124,17.525641025641026
Jose Alvarado,NOP,56,1366,0.043,24.392857142857142
Jeremy Sochan,SAS,54,1364,0.096,25.25925925925926
Luke Kornet,BOS,73,1361,0.246,18.643835616438356
Trey Lyles,SAC,69,1349,0.091,19.55072463768116
Jake LaRavia,2TM,66,1349,0.104,20.439393939393938
Bogdan BogdanoviÄ,2TM,54,1348,0.069,24.962962962962962
Justin Champagnie,WAS,62,1340,0.1,21.612903225806452
Paul George,PHI,41,1334,0.036,32.53658536585366
Ausar Thompson,DET,59,1328,0.138,22.508474576271187
Donovan Clingan,POR,67,1324,0.144,19.761194029850746
Jordan Hawkins,NOP,56,1321,-0.02,23.589285714285715
Tyrese Martin,BRK,60,1315,0.033,21.916666666666668
Mason Plumlee,PHO,74,1300,0.136,17.56756756756757
Jonathan Mogbo,TOR,63,1286,0.071,20.41269841269841
Jalen Johnson,ATL,36,1284,0.089,35.666666666666664
Max Strus,CLE,50,1273,0.13,25.46
Johnny Juzang,UTA,64,1270,0.06,19.84375
Ron Holland,DET,81,1266,0.067,15.62962962962963
Javonte Green,2TM,68,1258,0.063,18.5
Nick Richards,2TM,57,1256,0.114,22.035087719298247
Dean Wade,CLE,59,1252,0.113,21.220338983050848
Ricky Council IV,PHI,73,1250,0.023,17.123287671232877
Tidjane SalaÃ¼n,CHO,60,1244,0.002,20.733333333333334
Bobby Portis,MIL,49,1244,0.106,25.387755102040817
Moussa DiabatÃ©,CHO,71,1241,0.125,17.47887323943662
Jeremiah Robinson-Earl,NOP,66,1239,0.067,18.772727272727273
Simone Fontecchio,DET,75,1237,0.063,16.493333333333332
Cole Anthony,ORL,67,1234,0.078,18.417910447761194
Ben Sheppard,IND,63,1228,0.081,19.49206349206349
Daniel Gafford,DAL,57,1226,0.232,21.50877192982456
John Collins,UTA,40,1220,0.098,30.5
Caleb Martin,2TM,45,1218,0.025,27.066666666666666
Kristaps PorziÅÄ£is,BOS,42,1210,0.212,28.80952380952381
Brandon Clarke,MEM,64,1207,0.174,18.859375
Deandre Ayton,POR,40,1206,0.113,30.15
Jarace Walker,IND,75,1187,0.065,15.826666666666666
Kawhi Leonard,LAC,37,1180,0.141,31.89189189189189
Clint Capela,ATL,55,1176,0.131,21.381818181818183
Cody Martin,2TM,53,1173,0.054,22.132075471698112
Mark Williams,CHO,44,1171,0.195,26.613636363636363
Precious Achiuwa,NYK,57,1170,0.095,20.526315789473685
Nikola JoviÄ,MIA,46,1156,0.104,25.130434782608695
Justin Edwards,PHI,44,1155,0.039,26.25
Vit Krejci,ATL,57,1153,0.11,20.228070175438596
Jonathan Kuminga,GSW,47,1144,0.08,24.340425531914892
Kevon Looney,GSW,76,1142,0.182,15.026315789473685
Kenrich Williams,OKC,69,1132,0.151,16.405797101449274
Julian Phillips,CHI,79,1123,0.08,14.215189873417721
Aaron Nesmith,IND,45,1123,0.126,24.955555555555556
Dalano Banton,POR,67,1120,0.033,16.71641791044776
Ben Simmons,2TM,51,1120,0.078,21.96078431372549
Ja'Kobe Walter,TOR,52,1103,0.052,21.21153846153846
Jaxson Hayes,LAL,56,1093,0.162,19.517857142857142
Cameron Payne,NYK,72,1090,0.099,15.13888888888889
Jonathan Isaac,ORL,71,1090,0.148,15.352112676056338
DaQuan Jeffries,CHO,47,1071,0.027,22.78723404255319
Jusuf NurkiÄ,2TM,51,1063,0.066,20.84313725490196
Seth Curry,CHO,68,1062,0.08,15.617647058823529
Cody Williams,UTA,50,1060,-0.053,21.2
Isaac Okoro,CLE,55,1053,0.115,19.145454545454545
Oso Ighodaro,PHO,61,1045,0.075,17.131147540983605
Jared Butler,2TM,60,1044,0.063,17.4
Jamison Battle,TOR,59,1042,0.079,17.661016949152543
Noah Clowney,BRK,46,1042,0.023,22.652173913043477
Alex Caruso,OKC,54,1041,0.18,19.27777777777778
Kris Murray,POR,69,1040,0.033,15.072463768115941
Dejounte Murray,NOP,31,1012,0.009,32.645161290322584
Jalen Suggs,ORL,35,1002,0.052,28.62857142857143
